------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Work ctr|Type|Group   |GrC|Material    |OpAc|Valid From|Valid to  |Change No.  |Prod.resources/tools  |Descr. of the production resource/tool  |   Quantity|Un.|Item|Cat|Grp1|Grp2|
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003915         |DIE,PIERCE for ET17517/20               |     1.000 |PC | 100|E  |    |    |
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15525              |. TAPE, MEASURING 5841300003            |     1.000 |PC |3000|M  |    |    |
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01003125 ZMD 000 00 |MDS\ET17517\0400                        |     1.000 |EA | 500|D  |    |    |
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   400.000 |PC |   1|M  |    |    |
|08635   |N   |50375587|1  |ET17517     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   400.000 |PC |   1|M  |    |    |
|08635   |N   |50375587|1  |ET17517     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15509              |DIAL INDICATOR CK FLAT W/SPC            |     1.000 |PC |3000|M  |    |    |
|08635   |N   |50375587|1  |ET17517     |0500|11/03/2014|12/31/9999|AI3735MXPROD|MX01003126 ZMD 000 00 |MDS\ET17517\0500                        |     1.000 |EA | 500|D  |    |    |
|08635   |N   |50375588|1  |ET17518     |0250|11/03/2014|12/31/9999|AI3735MXPROD|IMD15128              |CNTR, LARGE TUB                         |   520.000 |PC |   1|M  |    |    |
|08635   |N   |50375588|1  |ET17518     |0250|11/03/2014|12/31/9999|AI3735MXPROD|IMD15509              |DIAL INDICATOR CK FLAT W/SPC            |     1.000 |PC |3000|M  |    |    |
|08635   |N   |50375588|1  |ET17518     |0250|11/03/2014|12/31/9999|AI3735MXPROD|MX01003127 ZMD 000 00 |MDS\ET17518\0250                        |     1.000 |EA | 500|D  |    |    |
|08224   |N   |50375588|1  |ET17518     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   520.000 |PC |   1|M  |    |    |
|08224   |N   |50375588|1  |ET17518     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375588|1  |ET17518     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15535              |. 18"CALIPER,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375588|1  |ET17518     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375588|1  |ET17518     |0500|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014713         |Wilson PBrake Punch 610C                |     1.000 |PC | 100|E  |    |    |
|08224   |N   |50375588|1  |ET17518     |0500|11/17/2017|12/31/9999|AL4894MXPROD|MX01T-5014714         |Wilson PBrake Die 65086016 A86V16W30    |     1.000 |   | 100|E  |    |    |
|08224   |N   |50375589|1  |ET17519     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   150.000 |PC |   1|M  |    |    |
|08224   |N   |50375589|1  |ET17519     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375589|1  |ET17519     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15535              |. 18"CALIPER,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375589|1  |ET17519     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375589|1  |ET17519     |0300|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014708         |Wilson PBrake Punch 614C R6.35A60H217.2 |     1.000 |PC | 100|E  |    |    |
|08224   |N   |50375589|1  |ET17519     |0300|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014709         |Wilson PBrake Die 65086050 A86V50W75    |     1.000 |PC | 100|E  |    |    |
|08975   |N   |50375589|1  |ET17519     |0090|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   150.000 |PC |   1|M  |    |    |
|09113   |N   |50375590|1  |ET17520     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003915         |DIE,PIERCE for ET17517/20               |     1.000 |PC | 100|E  |    |    |
|09113   |N   |50375590|1  |ET17520     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15525              |. TAPE, MEASURING 5841300003            |     1.000 |PC |3000|M  |    |    |
|09113   |N   |50375590|1  |ET17520     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|09113   |N   |50375590|1  |ET17520     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01003131 ZMD 000 00 |MDS\ET17520\0400                        |     1.000 |EA | 500|D  |    |    |
|09113   |N   |50375590|1  |ET17520     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   400.000 |PC |   1|M  |    |    |
|08635   |N   |50375590|1  |ET17520     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   400.000 |PC |   1|M  |    |    |
|08635   |N   |50375590|1  |ET17520     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15509              |DIAL INDICATOR CK FLAT W/SPC            |     1.000 |PC |3000|M  |    |    |
|08635   |N   |50375590|1  |ET17520     |0500|11/03/2014|12/31/9999|AI3735MXPROD|MX01003132 ZMD 000 00 |MDS\ET17520\0500                        |     1.000 |EA | 500|D  |    |    |
|08635   |N   |50375590|1  |ET17520     |0500|11/03/2014|12/31/9999|AI3735MXPROD|MX01014045 ZOS 000 00 |OMS ET17520 (5121) Stacking             |     1.000 |PC | 510|D  |    |    |
|08635   |N   |50375591|1  |ET17521     |0200|11/03/2014|12/31/9999|AI3735MXPROD|IMD15128              |CNTR, LARGE TUB                         |   475.000 |PC |   1|M  |    |    |
|08635   |N   |50375591|1  |ET17521     |0200|11/03/2014|12/31/9999|AI3735MXPROD|IMD15509              |DIAL INDICATOR CK FLAT W/SPC            |     1.000 |PC |3000|M  |    |    |
|08635   |N   |50375591|1  |ET17521     |0200|11/03/2014|12/31/9999|AI3735MXPROD|MX01003133 ZMD 000 00 |MDS\ET17521\0200                        |     1.000 |EA | 500|D  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   300.000 |PC |   1|M  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|IMD15535              |. 18"CALIPER,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014713         |Wilson PBrake Punch 610C                |     1.000 |PC | 100|E  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014712         |Wilson PBrake Die 65086024 A86V24W35    |     1.000 |PC | 100|E  |    |    |
|08224   |N   |50375591|1  |ET17521     |0490|11/03/2014|12/31/9999|AI3735MXPROD|IM87643               |MAGNET, 1/2" DIA X 1/2                  |     1.000 |PC | 300|M  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   162.000 |PC |   1|M  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|MX01011042 ZOS 000 00 |PRESS- STACKING (OMS-11-60440)          |     1.000 |EA | 510|D  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15535              |. 18"CALIPER,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014708         |Wilson PBrake Punch 614C R6.35A60H217.2 |     1.000 |PC | 100|E  |    |    |
|08224   |N   |50375592|1  |ET17522     |0300|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5014709         |Wilson PBrake Die 65086050 A86V50W75    |     1.000 |PC | 100|E  |    |    |
|08975   |N   |50375592|1  |ET17522     |0090|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   162.000 |PC |   1|M  |    |    |
|08631   |N   |50375594|1  |ET17524     |0090|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   500.000 |PC |   1|M  |    |    |
|08148   |N   |50375594|1  |ET17524     |0092|08/09/2016|12/31/9999|AI6058MXPROD|IMD15126              |CNTR, HOPPER                            |   500.000 |PC |   1|M  |    |    |
